Algoritmo,Max_repeticiones,Longitud,Tiempo
2,5,1522,0.07267332077026367
1,5,1501,0.005210399627685547
1,5,1248,0.004181385040283203
1,4,1469,0.005106210708618164
1,5,1604,0.005500078201293945
1,5,1458,0.004979610443115234
2,4,1212,0.0439150333404541
1,4,1435,0.004872322082519531
2,5,1587,0.07628965377807617
2,6,1578,0.07489728927612305
1,5,1393,0.0047147274017333984
2,4,1010,0.031206846237182617
1,4,1200,0.003984212875366211
2,5,1310,0.05112957954406738
1,6,1604,0.005494117736816406
2,4,1250,0.048157691955566406
2,5,1001,0.03028273582458496
2,5,1536,0.06977653503417969
2,5,1729,0.09177207946777344
1,4,1495,0.005110502243041992
1,6,1503,0.005125999450683594
0,8,1612,0.17972850799560547
0,4,1059,0.0744633674621582
2,5,1743,0.08954000473022461
0,5,1045,0.07200860977172852
2,6,1678,0.0864109992980957
1,5,1647,0.0056726932525634766
2,5,1465,0.06775259971618652
0,4,1016,0.0673973560333252
1,6,1361,0.004589557647705078
1,6,1042,0.0034084320068359375
2,4,1305,0.05109357833862305
2,5,1473,0.06498169898986816
1,5,1152,0.0039751529693603516
2,5,1126,0.037774085998535156
1,5,1050,0.003433704376220703
2,5,1103,0.03796529769897461
2,6,1056,0.03353309631347656
1,5,1453,0.004977226257324219
1,5,1414,0.004789113998413086
0,5,1698,0.1959836483001709
2,6,1696,0.08873486518859863
2,5,1031,0.032446861267089844
2,5,1246,0.04718136787414551
1,5,1781,0.006173849105834961
0,5,1377,0.12620925903320312
2,7,1761,0.09590291976928711
1,4,1228,0.004142284393310547
0,5,1391,0.13069510459899902
0,6,1475,0.14752197265625
0,4,1529,0.15743064880371094
1,6,1265,0.004265308380126953
1,6,1551,0.005305051803588867
1,5,1634,0.005639553070068359
0,4,1056,0.07286477088928223
1,4,1134,0.0037446022033691406
0,5,1642,0.18433880805969238
0,5,1314,0.11536741256713867
2,6,1429,0.06198883056640625
0,5,1713,0.20017361640930176
1,5,1500,0.0051364898681640625
2,6,1772,0.09907197952270508
2,5,1143,0.038687944412231445
0,5,1444,0.14127492904663086
2,5,1611,0.08182835578918457
2,6,1253,0.048609018325805664
2,4,1230,0.04477047920227051
1,5,1134,0.003760099411010742
1,4,1168,0.003880023956298828
0,4,1000,0.06574630737304688
2,4,1289,0.05034518241882324
0,5,1745,0.2054431438446045
2,5,1466,0.06400561332702637
0,4,1197,0.09422183036804199
1,6,1580,0.005402088165283203
1,4,1192,0.004029273986816406
1,6,1556,0.005331993103027344
2,5,1335,0.056990623474121094
1,5,1622,0.005578756332397461
0,4,1328,0.11980080604553223
2,5,1443,0.06238722801208496
0,5,1619,0.18069171905517578
0,5,1484,0.14858412742614746
2,5,1662,0.08192634582519531
0,6,1304,0.11262369155883789
0,4,1009,0.06730914115905762
0,5,1232,0.10112810134887695
1,4,1133,0.0037360191345214844
2,6,1682,0.08708667755126953
0,5,1433,0.1387779712677002
0,5,1218,0.09906411170959473
1,4,1117,0.0036962032318115234
2,5,1634,0.08176231384277344
0,5,1693,0.19477295875549316
0,5,1649,0.1833040714263916
0,5,1248,0.10200190544128418
2,6,1663,0.0821988582611084
1,5,1600,0.005510568618774414
2,5,1488,0.06564140319824219
0,4,1067,0.0755922794342041
2,4,1198,0.04312396049499512
1,4,1278,0.0043032169342041016
0,5,1468,0.1454787254333496
0,5,1674,0.18996858596801758
0,6,1481,0.14723753929138184
1,4,1618,0.00569605827331543
0,5,1334,0.1199033260345459
2,5,1278,0.04934358596801758
0,5,1213,0.09724259376525879
2,4,1268,0.049082279205322266
0,5,1027,0.0691368579864502
2,5,1562,0.07642388343811035
0,4,1361,0.12424278259277344
1,5,1527,0.0052642822265625
2,6,1747,0.09733033180236816
2,5,1565,0.07596135139465332
2,5,1060,0.0344085693359375
1,5,1360,0.0047261714935302734
0,5,1460,0.14217042922973633
2,5,1578,0.07767152786254883
1,5,1581,0.005433797836303711
0,5,1552,0.16350507736206055
0,3,1006,0.0664224624633789
2,4,1039,0.031018972396850586
2,5,1358,0.058530569076538086
1,4,1218,0.004076480865478516
0,5,1457,0.14345693588256836
2,4,1132,0.038237810134887695
1,4,1091,0.0036449432373046875
2,4,1196,0.04265904426574707
2,5,1277,0.049401283264160156
1,5,1654,0.00574946403503418
1,5,1702,0.0058879852294921875
1,4,1490,0.005082607269287109
1,4,1010,0.003215312957763672
0,6,1645,0.1853187084197998
1,5,1096,0.0036096572875976562
1,5,1758,0.006073474884033203
1,4,1048,0.0034363269805908203
1,5,1267,0.0044138431549072266
1,6,1725,0.0059909820556640625
0,4,1454,0.14211583137512207
1,5,1517,0.005186796188354492
2,5,1098,0.036582231521606445
2,6,1573,0.07294487953186035
2,4,1198,0.045246124267578125
1,5,1500,0.005106925964355469
0,4,1199,0.09545588493347168
1,4,1204,0.004014730453491211
1,5,1501,0.005103111267089844
0,4,1182,0.09319519996643066
2,4,1211,0.043517351150512695
2,6,1762,0.09415411949157715
2,5,1588,0.07621121406555176
2,5,1084,0.033592939376831055
0,5,1737,0.2052013874053955
2,5,1603,0.07891654968261719
0,4,1542,0.16040897369384766
0,5,1800,0.22167277336120605
1,4,1376,0.0046634674072265625
1,5,1202,0.004027843475341797
2,4,1269,0.04844021797180176
1,6,1762,0.006090879440307617
0,5,1569,0.16797184944152832
1,6,1665,0.0057828426361083984
1,5,1649,0.005686283111572266
2,5,1405,0.06034350395202637
1,5,1581,0.0054187774658203125
0,6,1793,0.2218468189239502
1,4,1039,0.003510713577270508
1,5,1171,0.003916025161743164
2,5,1197,0.04211711883544922
2,4,1102,0.035997867584228516
2,5,1384,0.05742502212524414
0,5,1561,0.16532325744628906
1,8,1704,0.005903005599975586
0,5,1523,0.15688133239746094
1,5,1484,0.005075216293334961
2,5,1728,0.09035205841064453
